area1,area2,area3,area4,area5,area6,area7,area8,mean_heart,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,dist_gap1_1,dist_gap1_2,dist_gap1_3,dist_gap2_1,dist_gap2_2,dist_gap2_3,dist_gap3_1,dist_gap3_2,dist_gap3_3,dist_gap4_1,dist_gap4_2,dist_gap4_3,dist_gap5_1,dist_gap5_2,dist_gap5_3,dist_gap6_1,dist_gap6_2,dist_gap6_3,dist_gap7_1,dist_gap7_2,dist_gap7_3,dist_gap8_1,dist_gap8_2,dist_gap8_3,class,simi,diff,avg_dis1,avg_dis2,avg_dis3
4439.0,4389.5,4514.0,4364.0,4377.5,4355.5,4545.0,4459.0,4430.4375,68.19859051364818,23.09129517181809,-21.186176440399137,-66.7474078251384,-111.8791513375753,-157.5073881009413,158.96248897457818,113.09129517181808,44.553338819890925,13.0,51.0881590977792,6.4031242374328485,12.083045973594572,44.04543109109048,52.32590180780452,11.180339887498947,54.45181356024793,43.0,13.41640786499874,39.96248240537617,44.553338819890925,12.16552506059644,50.80354318352215,46.84015371452148,14.317821063276352,48.08326112068523,33.015148038438355,8.246211251235321,53.03772242470448,44.553338819890925,6.4031242374328485,52.32590180780452,Complete,0.962,5.634699089133674,39.0,16.75,48.875
4394.0,4456.0,4335.5,4335.5,4435.0,4544.0,4267.5,4339.0,4388.3125,68.62937773065681,23.416030758230413,-21.186176440399137,-66.85719893270577,-113.36434447605964,-158.81382355960085,157.06789956241022,112.87366519062672,47.16990566028302,13.92838827718412,46.17358552246078,12.083045973594572,11.180339887498947,36.7967389859482,46.69047011971501,13.0,44.01136216933077,36.6742416417845,0.0,43.829214001622255,46.75467891024384,13.0,48.373546489791295,46.84015371452148,11.180339887498947,36.069377593742864,46.69047011971501,13.0,41.10960958218893,47.16990566028302,12.083045973594572,46.69047011971501,Complete,0.9477,3.879653942354935,40.75,14.25,42.5
42.0,1892.5,2052.5,2044.0,2343.5,2006.5,2060.5,1138.0,1697.4375,67.12633480937329,22.85481996177672,-22.750976342787634,-67.75097634278764,-114.2459286812006,-157.73341172668765,155.36160327538616,110.01356679522011,43.01162633521314,2.23606797749979,31.064449134018133,13.038404810405298,21.213203435596427,41.340053217188775,79.90619500389191,13.41640786499874,60.07495318350236,71.02112361825881,18.384776310850235,27.018512172212592,48.83646178829912,9.433981132056603,59.033888572581766,46.17358552246078,19.235384061671343,47.38143096192854,63.702433234531945,7.211102550927978,27.31300056749533,43.01162633521314,13.038404810405298,79.90619500389191,Asymmetrical,0.8822,106.9700494497514,50.75,15.25,46.375
3823.0,4572.5,4158.0,4964.5,3901.0,4596.5,4370.5,3875.0,4282.625,65.82855579020683,20.979753202735107,-21.72419150141384,-68.4286928087454,-111.00678943077186,-159.49190102823155,152.74467162505695,114.41073983949204,40.19950248448356,22.360679774997894,35.4682957019364,15.811388300841896,33.54101966249684,53.0754180388624,41.88078318274385,21.37755832643195,36.22154055254967,51.0881590977792,11.40175425099138,25.80697580112788,8.602325267042627,23.769728648009423,50.00999900019995,57.0,10.44030650891055,62.24146527838174,33.60059523282288,22.20360331117452,41.43669871020132,40.19950248448356,15.811388300841896,41.88078318274385,Irregular,0.7649,18.87012196681053,35.625,22.0,42.875
4417.0,4269.5,4458.0,4367.0,4547.0,4305.0,4378.0,4248.0,4373.6875,68.87528085392752,24.17144420979317,-20.94747058695116,-66.85719893270577,-112.81332210655202,-158.27580849858617,156.6951094607969,111.87620811163072,41.30375285612676,10.770329614269007,54.037024344425184,9.219544457292889,13.0,53.907327887774215,41.03656905736639,26.83281572999748,62.96824596572466,21.587033144922906,13.0,47.01063709417264,39.05124837953327,14.7648230602334,52.08646657242167,44.553338819890925,13.0,51.66236541235796,44.04543109109048,14.317821063276352,44.181444068749045,41.30375285612676,9.219544457292889,41.03656905736639,Complete,0.9646,7.977120738619709,35.0,17.75,50.5
4146.0,2709.5,4433.0,4570.0,3362.5,4399.5,4736.5,4273.0,4078.75,66.26706019592801,26.012375912129837,-21.104838584929634,-68.19859051364818,-112.38013505195958,-158.93102506806878,156.86430274266417,110.60324107341734,49.0,16.1245154965971,91.2414379544733,11.40175425099138,5.656854249492381,30.610455730027933,45.254833995939045,15.620499351813308,59.033888572581766,28.0,17.72004514666935,15.811388300841896,55.17245689653489,22.47220505424423,46.17358552246078,36.23534186398688,32.449961479175904,40.311288741492746,22.13594362117865,19.92485884517128,37.12142238654117,49.0,11.40175425099138,45.254833995939045,Irregular,0.7598,22.70472875742914,36.875,19.375,45.375
4451.0,4438.0,4503.5,4423.0,4334.5,4344.5,4691.5,4591.0,4472.125,67.66455743469609,23.252592174861608,-21.72419150141384,-67.5741380786482,-112.65189165209058,-158.27580849858617,156.96495551081472,112.97694450318876,42.01190307520001,10.770329614269007,44.04543109109048,12.206555615733702,12.083045973594572,43.18564576337837,43.840620433565945,7.810249675906654,46.01086828130936,40.01249804748511,0.0,50.80354318352215,41.77319714841085,12.649110640673518,52.172789842982326,46.84015371452148,12.083045973594572,46.66904755831214,44.204072210600685,14.142135623730953,46.52956049652737,42.01190307520001,12.206555615733702,43.840620433565945,Complete,0.9584,3.5724465112522723,38.75,13.875,46.25
3908.5,5228.5,3749.0,3845.5,4574.5,5350.5,2851.5,3367.0,4109.375,66.48544331706343,22.85481996177672,-19.269294398468805,-67.41268946863428,-113.14578335854247,-160.78732818281438,154.16712340048582,113.31770838675509,22.84731931759173,18.027756377319943,0.0,26.627053911388696,15.811388300841896,0.0,73.40980860893181,37.73592452822641,59.21148537234985,55.90169943749474,14.212670403551895,34.66987164671943,42.5205832509386,18.384776310850235,53.46026561849464,30.23243291566195,16.278820596099706,43.93176527297759,35.0,12.0,17.0,22.84731931759173,26.627053911388696,73.40980860893181,Irregular,0.7323,29.13825127604281,38.125,20.125,34.875
4417.0,4477.5,4377.5,5105.0,4925.0,4934.5,4232.5,4516.0,4623.125,67.38013505195957,22.873665190626717,-22.12194197188185,-67.02305549681125,-111.644435140714,-157.8905516562483,157.02305549681125,114.44395478041652,44.40720662234904,20.024984394500787,34.23448553724738,8.602325267042627,14.866068747318506,37.44329045369811,34.20526275297414,24.08318915758459,52.08646657242167,40.0,15.811388300841896,67.17886572427373,52.20153254455275,28.635642126552707,42.42640687119285,44.10215414239989,15.297058540778355,39.20459156782532,41.340053217188775,6.708203932499369,48.16637831516918,44.40720662234904,8.602325267042627,34.20526275297414,Asymmetrical,0.8228,14.98516226868221,38.375,21.5,44.125
4156.0,2784.0,4761.5,5000.0,3220.5,5056.5,4620.5,4081.0,4210.0,66.9649555108147,22.380135051959574,-30.256437163529263,-69.14554196042165,-112.47943439710312,-159.7343025290525,156.32439736649363,112.3568913292943,65.49045732013177,13.92838827718412,18.68154169226941,19.313207915827967,16.55294535724685,28.600699292150185,65.85590330410783,23.194827009486403,36.05551275463989,46.04345773288535,7.071067811865476,59.033888572581766,82.07313811473277,9.848857801796104,0.0,41.01219330881976,11.04536101718726,42.01190307520001,56.85068161420758,15.231546211727816,0.0,65.49045732013177,19.313207915827967,65.85590330410783,Irregular,0.7758,27.080579411451783,54.875,12.25,31.0
